Number,Latency (µs)
610,12354740
611,12354771
612,12354805
613,12354859
614,12354888
615,12354915
616,12354948
617,12354977
618,12355006
619,12355035
620,12355065
621,13022125
622,13022146
623,13022163
624,13022179
625,13022195
626,13022214
627,13022228
628,13022245
629,13022270
630,13022299
631,13022335
632,13022369
633,13022400
634,13022434
635,13022472
636,13022513
637,13022593
638,13022624
639,13022655
640,13022678
641,13022686
642,13022718
643,13056220
644,13056250
645,13056281
646,13056294
647,13056314
648,13056335
649,13056351
650,13056387
651,13056437
652,13056470
653,13056756
654,13056783
655,13056816
656,13056843
657,13056871
658,13056874
659,13056894
660,13056900
661,13056924
662,13056952
663,13056984
664,13355328
665,13355355
666,13355371
667,13355387
668,13355405
669,13355426
670,13355442
671,13355458
672,13355478
673,13355509
674,13355545
675,13355579
676,13355609
677,13355645
678,13355681
679,13355725
680,13355804
681,13355836
682,13355868
683,13355899
684,13355931
685,13355969
686,14022324
687,14022367
688,14022401
689,14022430
690,14022456
691,14022490
692,14022528
693,14022587
694,14022617
695,14022644
696,14022701
697,14022730
698,14022771
699,14025064
700,14026171
701,14026436
702,14026438
703,14026478
704,14026494
705,14026513
706,14026537
707,14057245
708,14057267
709,14057284
710,14057297
711,14057314
712,14057335
713,14057349
714,14057364
715,14057389
716,14057418
717,14057449
718,14057476
719,14057486
720,14057512
721,14057553
722,14057588
723,14057667
724,14057698
725,14057719
726,14057749
727,14057780
728,14057823
729,14355616
730,14355669
731,14355708
732,14355737
733,14355764
734,14355797
735,14355827
736,14355873
737,14355924
738,14355951
739,14356009
740,14356039
741,14356079
742,14358371
743,14359481
744,14359748
745,14359784
746,14359832
747,14359851
748,14359871
749,14359890
